sistema,num_cicloe,calle_prin,calle_secu,colonia,alcaldia,latitud,longitud,sitio_de_e,estatus
Ecobici,88,2da cerrada de 5 de mayo,Palma,Centro,Cuauhtemoc,19.433757,-99.135331,Banqueta,Instalada
Ecobici,89,Republica de Guatemala,Monte de Piedad,Centro,Cuauhtemoc,19.434962,-99.133729,Banqueta,Instalada
Ecobici,90,Jose Maria Pino Suarez,Corregidora,Centro,Cuauhtemoc,19.43144,-99.132513,Banqueta,Instalada
Ecobici,91,Republica de Cuba,Allende,Centro,Cuauhtemoc,19.4374,-99.137571,Arroyo,Instalada
Ecobici,92,San Ildefonso,Republica de Argentina,Centro,Cuauhtemoc,19.436531,-99.131497,Banqueta,Instalada
Ecobici,93,Palma Norte,Republica de Cuba,Centro,Cuauhtemoc,19.436741,-99.134811,Arroyo,Instalada
Ecobici,94,Lic. Primo de Verdad,Moneda,Centro,Cuauhtemoc,19.433766,-99.130918,Arroyo,Instalada
Ecobici,95,20 de Noviembre,Venustiano Carranza,Centro,Cuauhtemoc,19.430722,-99.133698,Banqueta,Instalada
Ecobici,96,Lopez,Ayuntamiento,Centro,Cuauhtemoc,19.430625,-99.14248,Arroyo,Instalada
Ecobici,97,Republica de Salvador,Jose Maria Pino Suarez,Centro,Cuauhtemoc,19.429189,-99.132759,Camell<f3>n,Instalada
Ecobici,98,Emilio Donde,Av. Balderas,Centro,Cuauhtemoc,19.430267,-99.14861,Arroyo,Instalada
Ecobici,99,Ernesto Pugibet,Luis Moya,Centro,Cuauhtemoc,19.429947,-99.14591,Arroyo,Instalada
Ecobici,107-108,Tolsa,Balderas,Centro,Cuauhtemoc,19.427329,-99.149971,Arroyo,Instalada
Ecobici,413,Parroquia,Avenida Coyoacan,Centro Urbano Presidente Aleman,Benito Juarez,19.369823,-99.172164,Arroyo,Instalada
Ecobici,347,Pensilvania,Maximino Avila Camacho,Ciudad de los Deportes,Benito Juarez,19.384474,-99.176084,Arroyo,Instalada
Ecobici,348,Indiana,Eje 5 Sur Av. San Antonio,Ciudad de los Deportes,Benito Juarez,19.38542,-99.17823,Arroyo,Instalada
Ecobici,353,Carolina,Holbein,Ciudad de los Deportes,Benito Juarez,19.38213,-99.178814,Arroyo,Instalada
Ecobici,362,Augusto Rodin,Alberto Balderas,Ciudad de los Deportes,Benito Juarez,19.382109,-99.181056,Arroyo,Instalada
Ecobici,363,Holbein,Paulo Ucello,Ciudad de los Deportes,Benito Juarez,19.380839,-99.183932,Arroyo,Instalada
