num_cicloe,nombre_estacion,calle_prin,calle_secu,colonia,alcaldia,latitud,longitud,sitio_de_e
89,República De Guatemala_Monte De Piedad,República De Guatemala,Monte De Piedad,Centro,Cuauhtemoc,19.434962,-99.133729,Banqueta
90,José María Pino Suárez_Corregidora,José María Pino Suárez,Corregidora,Centro,Cuauhtemoc,19.43144,-99.132513,Banqueta
91,Republica De Cuba_Allende,Republica De Cuba,Allende,Centro,Cuauhtemoc,19.4374,-99.137571,Arroyo
92,San Ildefonso_República De Argentina,San Ildefonso,República De Argentina,Centro,Cuauhtemoc,19.436531,-99.131497,Banqueta
93,Palma Norte_República De Cuba,Palma Norte,República De Cuba,Centro,Cuauhtemoc,19.436741,-99.134811,Arroyo
94,Lic. Verdad_Moneda,Lic. Verdad,Moneda,Centro,Cuauhtemoc,19.433766,-99.130918,Arroyo
95,20 De Noviembre_Venustiano Carranza,20 De Noviembre,Venustiano Carranza,Centro,Cuauhtemoc,19.430722,-99.133698,Banqueta
96,López_Ayuntamiento,López,Ayuntamiento,Centro,Cuauhtemoc,19.430625,-99.14248,Arroyo
97,República De Salvador_Pino Suárez,República De Salvador,Pino Suárez,Centro,Cuauhtemoc,19.429189,-99.132759,Camell<F3>N
98,Emilio Dondé_Av. Balderas,Emilio Dondé,Av. Balderas,Centro,Cuauhtemoc,19.430267,-99.14861,Arroyo
99,Ernesto Pugibet_Luis Moya,Ernesto Pugibet,Luis Moya,Centro,Cuauhtemoc,19.429947,-99.14591,Arroyo
100,20 De Noviembre_Mesones,20 De Noviembre,Mesones,Centro,Cuauhtemoc,19.428485,-99.1338,Banqueta
102,Echeveste_Bolivar,Echeveste,Bolivar,Centro,Cuauhtemoc,19.428214,-99.139494,Banqueta
103,Joaquín Velázquez De León_García Icazbalceta,Joaquín Velázquez De León,García Icazbalceta,San Rafael,Cuauhtemoc,19.441533,-99.165268,Arroyo
104,San Jerónimo_Isabel La Católica,San Jerónimo,Isabel La Católica,Centro,Cuauhtemoc,19.427059,-99.137116,Banqueta
105,San Jerónimo_5 De Febrero,San Jerónimo,5 De Febrero,Centro,Cuauhtemoc,19.426755,-99.135014,Arroyo
106,San Jerónimo_José María Pino Suarez,San Jerónimo,José María Pino Suarez,Centro,Cuauhtemoc,19.42649,-99.133537,Banqueta
107-108,Tolsa_Balderas,Tolsa,Balderas,Centro,Cuauhtemoc,19.427329,-99.149971,Arroyo
109,Nezahualcóyotl_Isabel La Católica,Nezahualcóyotl,Isabel La Católica,Centro,Cuauhtemoc,19.425311,-99.137421,Arroyo
110,Dr. Valenzuela_Dr. Río De La Loza,Dr. Valenzuela,Dr. Río De La Loza,Doctores,Cuauhtemoc,19.425126,-99.143391,Arroyo
111,Guillermo Prieto_Joaquín Velázquez De León,Guillermo Prieto,Joaquín Velázquez De León,San Rafael,Cuauhtemoc,19.438197,-99.165918,Arroyo
112,Av. Morelos_Abraham González,Av. Morelos,Abraham González,Juarez,Cuauhtemoc,19.432819,-99.151734,Banqueta
113,General Prim_Versalles,General Prim,Versalles,Juarez,Cuauhtemoc,19.430369,-99.154419,Arroyo
114,Lucerna_Abraham González,Lucerna,Abraham González,Juarez,Cuauhtemoc,19.428989,-99.153618,Arroyo
115,Roma_Dinamarca,Roma,Dinamarca,Juarez,Cuauhtemoc,19.429947,-99.159698,Arroyo
116,Londres_Roma,Londres,Roma,Juarez,Cuauhtemoc,19.428985,-99.15664,Arroyo
117,Londres_Nápoles,Londres,Nápoles,Juarez,Cuauhtemoc,19.427132,-99.160369,Arroyo
118,Liverpool_Dinamarca,Liverpool,Dinamarca,Juarez,Cuauhtemoc,19.427114,-99.158251,Arroyo
119,Turín_Abraham González,Turín,Abraham González,Juarez,Cuauhtemoc,19.426785,-99.155535,Arroyo
120,Marsella_Nápoles,Marsella,Nápoles,Juarez,Cuauhtemoc,19.425437,-99.159458,Arroyo
121,Niza_Chapultepec,Niza,Chapultepec,Juarez,Cuauhtemoc,19.424137,-99.161317,Arroyo
