Prefix,num_cicloe,calle_prin,calle_secu
CE,195,REFORMA,CIRCUITO MAHATMA GANDHI
CE,196,LAGO TANGANICA,AV. EJÉRCITO NACIONAL
CE,197,PRESA FALCÓN,MIGUEL DE CERVANTES SAAVEDRA
CE,198,SÓCRATES,EJÉRCITO NACIONAL
CE,199,ANATOLE FRANCE,AV. EJÉRCITO NACIONAL
CE,200,EMERSON,AV. EJÉRCITO NACIONAL
CE,201,LOPE DE VEGA,AV. EJÉRCITO NACIONAL
CE,202,CALDERÓN DE LA BARCA,AV. HOMERO
CE,203,TENNYSON,AV. HOMERO
CE,204,TEMÍSTOCLES,HOMERO
CE,205,TAINE,HOMERO
CE,206,HOMERO,MOLIERE
CE,207,TORQUATO TASSO,HOMERO
CE,208,HESIODO,LAMARTINE
CE,209,SOLÓN,HORACIO
CE,210,EUGENIO SUE,HORACIO
CE,211,ISAAC NEWTON,HORACIO
CE,212,HEGEL,HORACIO
CE,213,SOLÓN,CICERÓN
CE,214,PLATÓN,HORACIO
CE,215,EDGAR ALAN POE,HORACIO
CE,216,ALEJANDRO DUMAS,HORACIO
CE,217,EULER,HORACIO
CE,218,HEGEL,IBARBOUROU
CE,219,ESOPO,FC DE CUERNAVACA
CE,220,PLINIO,PRESIDENTE MASARYK
CE,221,EMILIO CASTELAR,PRESIDENTE MASARYK
CE,222,ALEJANDRO DUMAS,PRESIDENTE MASARIK
CE,223,ISAAC NEWTON,PRESIDENTE MASARYK
CE,224,HEGEL,PRESIDENTE MASARYK
CE,225,PETRARCA,PRESIDENTE MASARYK
CE,226,WALLON,PRESIDENTE MASARYK
CE,227,CAMPOS ELÍSEOS,PERIFÉRICO
CE,228,CAMPOS ELÍSEOS,LA FONTAINE
CE,229,CARLOS DICKENS,SÉNECA
CE,230,EDGAR ALLAN POE,CARLOS DICKENS
CE,231,ISAAC NEWTON,ARISTÓTELES
CE,232,TAINE,RUBÉN DARÍO
CE,233,JULIO VERNE,LUIS G. URBINA
CE,234,TRES PICOS,ARQUÍMIDES
CE,235-236,CAMPOS ELÍSEOS,MOLIERE
CE,237-238,ANDRÉS BELLO,GEORGE ELIOT
CE,239,RINCÓN DEL BOSQUE,RUBEN DARÍO
CE,240,EJÉRCITO NACIONAL,F.C. DE CUERNAVACA
CE,241,EJÉRCITO NACIONAL,JUAN VÁZQUEZ DE LA MELLA
CE,242,PRÓL. MOLIERE,MIGUEL DE CERVANTES SAAVEDRA
CE,243,LAGO FILT,MIGUEL DE CERVANTES SAAVEDRA
CE,244,LAGO VICTORIA,MIGUEL DE CERVANTES SAAVEDRA
CE,245,LAGO ONEGA,AV. EJÉRCITO NACIONAL
CE,246,LEIBNITZ,THIERS
CE,247,HERSCHEL,ROUSSEAU
CE,248,SHAKESPEARE,LAFAYETTE
CE,249,SHAKESPEARE,DARWIN
CE,250,DARWIN,MARIANO ESCOBEDO
