Prefix,num_cicloe,calle_prin,calle_secu,colonia,alcaldia,latitud,longitud,sitio_de_e,estatus
Ce,73,Campeche,Tamaulipas,Hipodromo Condesa,Cuauhtemoc,19.410073,-99.175542,Arroyo,Instalada
Ce,74,Nuevo León,Ozulama,Hipodromo,Cuauhtemoc,19.410468,-99.172802,Banqueta,Instalada
Ce,75,Alfonso Reyes,Atlixco,Hipodromo Condesa,Cuauhtemoc,19.408676,-99.176759,Banqueta,Instalada
Ce,76,Chilpancingo,Campeche,Hipodromo,Cuauhtemoc,19.4086886,-99.169938,Arroyo,Instalada
Ce,77,Choapan,Tamaulipas,Hipodromo,Cuauhtemoc,19.406745,-99.178272,Arroyo,Instalada
Ce,78,Benjamín Hill,Tamaulipas,Hipodromo,Cuauhtemoc,19.407512,-99.177361,Arroyo,Instalada
Ce,79,Saltillo,Alfonso Reyes,Hipodromo,Cuauhtemoc,19.407479,-99.174403,Banqueta,Instalada
Ce,80,Nuevo León,Aguascalientes,Hipodromo,Cuauhtemoc,19.407233,-99.172131,Banqueta,Instalada
Ce,81,Aguascalientes,Insurgentes,Hipodromo,Cuauhtemoc,19.407927,-99.168734,Arroyo,Instalada
Ce,82,Independencia,Marroquí,Centro,Cuauhtemoc,19.433344,-99.14404,Banqueta,Instalada
Ce,83,Alfonso Reyes,Nuevo León,Hipodromo,Cuauhtemoc,19.40655,-99.172275,Arroyo,Instalada
Ce,84,Chilpancingo,Tlaxcala,Hipodromo,Cuauhtemoc,19.406872,-99.169572,Arroyo,Instalada
Ce,85,Rosas Moreno,Sullivan,San Rafael,Cuauhtemoc,19.434081,-99.162434,Arroyo,Instalada
Ce,86,Sullivan,Insurgentes,San Rafael,Cuauhtemoc,19.432452,-99.15924,Banqueta,Instalada
Ce,87,Gante,Venustiano Carranza,Centro,Cuauhtemoc,19.432024,-99.139705,Banqueta,Instalada
Ce,88,2A Cerrada De 5 De Mayo,Palma,Centro,Cuauhtemoc,19.433757,-99.135331,Banqueta,Instalada
Ce,89,República De Guatemala,Monte De Piedad,Centro,Cuauhtemoc,19.434962,-99.133729,Banqueta,Instalada
Ce,90,José María Pino Suárez,Corregidora,Centro,Cuauhtemoc,19.43144,-99.132513,Banqueta,Instalada
Ce,91,Republica De Cuba,Allende,Centro,Cuauhtemoc,19.4374,-99.137571,Arroyo,Instalada
Ce,92,San Ildefonso,República De Argentina,Centro,Cuauhtemoc,19.436531,-99.131497,Banqueta,Instalada
Ce,93,Palma Norte,República De Cuba,Centro,Cuauhtemoc,19.436741,-99.134811,Arroyo,Instalada
Ce,94,Lic. Verdad,Moneda,Centro,Cuauhtemoc,19.433766,-99.130918,Arroyo,Instalada
Ce,95,20 De Noviembre,Venustiano Carranza,Centro,Cuauhtemoc,19.430722,-99.133698,Banqueta,Instalada
Ce,96,López,Ayuntamiento,Centro,Cuauhtemoc,19.430625,-99.14248,Arroyo,Instalada
Ce,97,República De Salvador,Pino Suárez,Centro,Cuauhtemoc,19.429189,-99.132759,Camell<F3>N,Instalada
Ce,98,Emilio Dondé,Av. Balderas,Centro,Cuauhtemoc,19.430267,-99.14861,Arroyo,Instalada
Ce,99,Ernesto Pugibet,Luis Moya,Centro,Cuauhtemoc,19.429947,-99.14591,Arroyo,Instalada
Ce,100,20 De Noviembre,Mesones,Centro,Cuauhtemoc,19.428485,-99.1338,Banqueta,Instalada
Ce,102,Echeveste,Bolivar,Centro,Cuauhtemoc,19.428214,-99.139494,Banqueta,Instalada
Ce,103,Joaquín Velázquez De León,García Icazbalceta,San Rafael,Cuauhtemoc,19.441533,-99.165268,Arroyo,Instalada
Ce,104,San Jerónimo,Isabel La Católica,Centro,Cuauhtemoc,19.427059,-99.137116,Banqueta,Instalada
